   200: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2311, Steps=12.09, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2318, Steps=12.82, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=    0.5928, Steps=8.18, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=    0.6921, Steps=8.86, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=    0.6325, Steps= 8.5, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=    0.6926, Steps=8.38, Features = 20
     0: >>> E[0:00:00]-R[?]: Return=   -0.7641, Steps=5.14, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2311, Steps=12.09, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2318, Steps=12.82, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=    0.5928, Steps=8.18, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=    0.6921, Steps=8.86, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=    0.6325, Steps= 8.5, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=    0.6926, Steps=8.38, Features = 20
  1400: >>> E[0:00:01]-R[0:00:00]: Return=    0.5928, Steps=8.18, Features = 20
  1600: >>> E[0:00:01]-R[0:00:00]: Return=    0.6525, Steps=8.54, Features = 20
  1800: >>> E[0:00:01]-R[0:00:00]: Return=    0.6325, Steps=8.47, Features = 20
  2000: >>> E[0:00:01]-R[0:00:00]: Return=    0.6926, Steps=8.43, Features = 20
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=   -0.7641, Steps=5.14, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2311, Steps=12.09, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2318, Steps=12.82, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=    0.5928, Steps=8.18, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=    0.6921, Steps=8.86, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=    0.6325, Steps= 8.5, Features = 20
  1200: >>> E[0:00:01]-R[0:00:01]: Return=    0.6926, Steps=8.38, Features = 20
  1400: >>> E[0:00:01]-R[0:00:00]: Return=    0.5928, Steps=8.18, Features = 20
  1600: >>> E[0:00:01]-R[0:00:00]: Return=    0.6525, Steps=8.54, Features = 20
  1800: >>> E[0:00:01]-R[0:00:00]: Return=    0.6325, Steps=8.47, Features = 20
  2000: >>> E[0:00:01]-R[0:00:00]: Return=    0.6926, Steps=8.43, Features = 20
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=   -0.7641, Steps=5.14, Features = 20
   200: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2311, Steps=12.09, Features = 20
   400: >>> E[0:00:00]-R[0:00:01]: Return=   -0.2318, Steps=12.82, Features = 20
   600: >>> E[0:00:00]-R[0:00:01]: Return=    0.5928, Steps=8.18, Features = 20
   800: >>> E[0:00:01]-R[0:00:01]: Return=    0.6921, Steps=8.86, Features = 20
  1000: >>> E[0:00:01]-R[0:00:01]: Return=    0.6325, Steps= 8.5, Features = 20
